filler freeze: 10000 draws, 0 mismatches without options, 0 with options (both must be 0)

config today (rtt 500ms, alarm 250-300ms, 400 runs per cell):
  1+0   800: flag median 81 p10 78, flagged<=150 100.0%, first40<=30ms n/a, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  1200: flag median 79 p10 76, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  1350: flag median 76 p10 73.9, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  1650: flag median 73 p10 71, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  1900: flag median 71.5 p10 70, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  2200: flag median 72 p10 70, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  2400: flag median 72 p10 70, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  2+1   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 80.2%, >=6s 0.0% (forced 0.0%)
  2+1  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 75.7%, >=6s 0.0% (forced 0.0%)
  2+1  1350: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 76.0%, >=6s 0.0% (forced 0.0%)
  2+1  1650: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 79.8%, >=6s 0.0% (forced 0.0%)
  2+1  1900: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 74.6%, >=6s 0.0% (forced 0.0%)
  2+1  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 76.4%, >=6s 0.0% (forced 0.0%)
  2+1  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 78.1%, >=6s 0.0% (forced 0.0%)
  3+0   800: flag median 141 p10 132, flagged<=150 86.8%, first40<=30ms n/a, moves1-5 <1.2s 37.1%, >=6s 0.0% (forced 0.0%)
  3+0  1200: flag median 135 p10 130, flagged<=150 96.5%, first40<=30ms 0.0%, moves1-5 <1.2s 34.4%, >=6s 0.0% (forced 0.0%)
  3+0  1350: flag median 131 p10 125, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 33.1%, >=6s 0.0% (forced 0.0%)
  3+0  1650: flag median 122 p10 117, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 36.4%, >=6s 0.0% (forced 0.0%)
  3+0  1900: flag median 114 p10 110, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 34.8%, >=6s 0.0% (forced 0.0%)
  3+0  2200: flag median 105 p10 102, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 35.9%, >=6s 0.0% (forced 0.0%)
