filler freeze: 10000 draws, 0 mismatches without options, 0 with options (both must be 0)

config today (rtt 500ms, alarm 250-300ms, 400 runs per cell):
  1+0   800: flag median 41 p10 37, flagged<=150 100.0%, first40<=30ms n/a, moves1-5 <1.2s 15.9%, >=6s 0.0% (forced 0.0%)
  1+0  1200: flag median 41 p10 37, flagged<=150 100.0%, first40<=30ms 59.2%, moves1-5 <1.2s 15.8%, >=6s 0.0% (forced 0.0%)
  1+0  1350: flag median 40 p10 36, flagged<=150 100.0%, first40<=30ms 61.2%, moves1-5 <1.2s 12.3%, >=6s 0.0% (forced 0.0%)
  1+0  1650: flag median 39 p10 36, flagged<=150 100.0%, first40<=30ms 63.0%, moves1-5 <1.2s 14.8%, >=6s 0.0% (forced 0.0%)
  1+0  1900: flag median 37 p10 34, flagged<=150 100.0%, first40<=30ms 66.4%, moves1-5 <1.2s 13.5%, >=6s 0.0% (forced 0.0%)
  1+0  2200: flag median 34 p10 32, flagged<=150 100.0%, first40<=30ms 71.7%, moves1-5 <1.2s 14.0%, >=6s 0.0% (forced 0.0%)
  1+0  2400: flag median 34 p10 32, flagged<=150 100.0%, first40<=30ms 71.8%, moves1-5 <1.2s 13.7%, >=6s 0.0% (forced 0.0%)
  2+1   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 17.7%, >=6s 0.0% (forced 0.0%)
  2+1  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 14.4%, >=6s 0.0% (forced 0.0%)
  2+1  1350: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 12.9%, >=6s 0.0% (forced 0.0%)
  2+1  1650: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.1%, moves1-5 <1.2s 14.6%, >=6s 0.0% (forced 0.0%)
  2+1  1900: flag never (>200), flagged<=150 0.0%, first40<=30ms 3.3%, moves1-5 <1.2s 11.5%, >=6s 0.0% (forced 0.0%)
  2+1  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 23.6%, moves1-5 <1.2s 16.8%, >=6s 0.0% (forced 0.0%)
  2+1  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 23.3%, moves1-5 <1.2s 15.0%, >=6s 0.0% (forced 0.0%)
  3+0   800: flag median 92 p10 78, flagged<=150 100.0%, first40<=30ms n/a, moves1-5 <1.2s 17.1%, >=6s 0.0% (forced 0.0%)
  3+0  1200: flag median 87 p10 76, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 12.8%, >=6s 0.0% (forced 0.0%)
  3+0  1350: flag median 85 p10 75, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 14.0%, >=6s 0.0% (forced 0.0%)
  3+0  1650: flag median 81 p10 72, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 15.8%, >=6s 0.0% (forced 0.0%)
