24 entries changed weight
ball_and_chain T6 old=plain now=grand
royal_summons T6 old=plain now=grand
threads_of_fate T7 old=plain now=grand
mind_dominion T5 old=grand now=plain
queen_of_stone T4 old=grand now=plain
glacial_flanks T4 old=grand now=plain
atomic_captures T8 old=plain now=grand
we_firestorm T5 old=grand now=plain
we_quagmire T6 old=plain now=grand
thorn_hedge T6 old=plain now=grand
gossamer_veil T5 old=grand now=plain
time_rewind T3 old=grand now=plain
draft_domination T6 old=plain now=grand
favorable_stars T6 old=plain now=grand
chess_diff T4 old=grand now=plain
riddle_game T5 old=grand now=plain
parole T6 old=plain now=grand
long_leash T6 old=plain now=grand
collapse T6 old=plain now=grand
empty_handed T4 old=grand now=plain
twin_queens T7 old=plain now=grand
promotion_storm T6 old=plain now=grand
mirror_of_souls T5 old=grand now=plain
dragon_mount T4 old=grand now=plain
